id,fa,year,title,global_cites,in_corpus_cites,pagerank,venue
https://openalex.org/W2132685991,Álvarez,2006,El diseño de entornos de aprendizaje colaborativo a través del programa Knowledge Forum : ,5,0,0.00018,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)
https://openalex.org/W2122660323,Weinberger,2005,Computer-supported collaborative learning in higher education: scripts for argumentative k,72,6,0.00098,Computer Supported Collaborative Learning
https://openalex.org/W2210080460,Dillenbourg,2009,The Evolution of Research on Computer-Supported Collaborative Learning,622,66,0.00173,
https://openalex.org/W1603154299,Archer,2012,Collaborative care for depression and anxiety problems,1063,0,0.00018,Cochrane Database of Systematic Reviews
https://openalex.org/W2091269806,Nash,2012,Epistemic trajectories: mentoring in a game design practicum,50,11,0.00081,Instructional Science
https://openalex.org/W2464545888,Zion,2015,The Effect of Individual and Social Metacognitive Support on Students' Metacognitive Perfo,23,2,0.00024,Journal of Educational Computing Research
https://openalex.org/W4295682976,Dahal,2022,Understanding and uses of collaborative tools for online courses in higher education,14,0,0.00018,Advances in Mobile Learning Educational Research
https://openalex.org/W2888302335,Li,2018,Fostering Students’ Scientific Inquiry through Computer-Supported Collaborative Knowledge ,23,2,0.00021,Research in Science Education
https://openalex.org/W1552847225,Lehmann,2015,"DBpedia – A large-scale, multilingual knowledge base extracted from Wikipedia",3186,1,0.00023,Semantic Web
https://openalex.org/W71397610,Stahl,2008,Integrating synchronous and asynchronous support for group cognition in online collaborati,10,0,0.00018,International Conference of Learning Sciences
https://openalex.org/W2908369321,Bransford,1997,"The Jasper Project: Lessons in Curriculum, instruction, Assessment, and Professional Devel",406,4,0.00079,
https://openalex.org/W4220885525,Schnaubert,2022,"Integrating collaboration scripts, group awareness, and self-regulation in computer-suppor",30,6,0.00031,International Journal of Computer-Supported Collaborative Learning
https://openalex.org/W2898668552,Lin,2018,Scaffolding learner autonomy in a wiki‐supported knowledge building community and its impl,15,0,0.00018,British Journal of Educational Technology
https://openalex.org/W2054965607,Sarmiento,2009,Boundaries and roles: Positioning and social location in the Virtual Math Teams (VMT) onli,26,5,0.00032,Computers in Human Behavior
https://openalex.org/W2159720716,Sarmiento,2008,Extending the joint problem space: time and sequence as essential features of knowledge bu,41,9,0.00078,
https://openalex.org/W2089648805,Weinberger,2013,Inducing socio-cognitive conflict in Finnish and German groups of online learners by CSCL ,31,4,0.00023,International Journal of Computer-Supported Collaborative Learning
https://openalex.org/W3149143686,Chiu,2003,Exploring how primary school students function in computer supported collaborative learnin,14,2,0.00025,International Journal of Continuing Engineering Education and Life-Long Learning
https://openalex.org/W2104688384,Price,2003,A New Conceptual Framework for CSCL: Supporting Diverse Forms of Reflection through Multip,54,2,0.00022,IOE EPrints
https://openalex.org/W1493356048,Trentin,2008,Using a wiki to evaluate individual contribution to a collaborative learning project,261,10,0.00059,Journal of Computer Assisted Learning
https://openalex.org/W4297369529,Rosé,2022,Supporting perspective taking across chasms of thinking: Do real-time analytics hold the k,1,0,0.00018,International Journal of Computer-Supported Collaborative Learning
https://openalex.org/W1985407410,Kealy,2001,Knowledge Maps and Their Use in Computer-Based Collaborative Learning Environments,21,1,0.00023,Journal of Educational Computing Research
https://openalex.org/W2037011341,Furberg,2013,Student sensemaking with science diagrams in a computer-based setting,68,17,0.00058,International Journal of Computer-Supported Collaborative Learning
https://openalex.org/W2010227971,Etheris,2004,Computer-supported collaborative problem solving and anchored instruction in a mathematics,27,0,0.00018,International Journal of Learning Technology
https://openalex.org/W1563636823,Jongman,1995,Data Analysis in Community and Landscape Ecology,4581,0,0.00018,Cambridge University Press eBooks
https://openalex.org/W4385739765,Tong,2023,Promoting knowledge building through meta-discourse and epistemic discourse understanding,25,3,0.00019,International Journal of Computer-Supported Collaborative Learning
https://openalex.org/W146323739,Gunawardena,1998,Transcript Analysis of Computer-Mediated Conferences as a Tool for Testing Constructivist ,59,1,0.00021,
https://openalex.org/W4293728044,Hu,2022,iTalk–iSee: A participatory visual learning analytical tool for productive peer talk,11,1,0.00019,International Journal of Computer-Supported Collaborative Learning
https://openalex.org/W3167598717,Eberle,2021,Initiating scientific collaborations across career levels and disciplines – a network anal,16,0,0.00018,International Journal of Computer-Supported Collaborative Learning
https://openalex.org/W1525672456,Rummel,2008,New challenges in CSCL: towards adaptive script support,37,6,0.00041,
